id;pcode;space;start;end;activity
21;1,01E+13;*;450;460;121
21;1,01E+13;80801;460;960;11
21;1,01E+13;*;960;970;121
21;1,01E+13;100100;970;1740;1
22;1,01E+13;100100;240;320;1
22;1,01E+13;*;320;350;121
22;1,01E+13;490509;350;845;11
22;1,01E+13;*;845;870;121
22;1,01E+13;100100;870;960;1
22;1,01E+13;*;960;965;100
22;1,01E+13;100100;965;990;33
22;1,01E+13;*;990;995;100
22;1,01E+13;100100;995;1740;1
23;1,01E+13;100100;240;660;1
23;1,01E+13;*;660;665;121
23;1,01E+13;100100;665;680;32
23;1,01E+13;*;680;740;121
23;1,01E+13;530800;740;945;91
23;1,01E+13;*;945;965;100
23;1,01E+13;530800;965;1080;91
23;1,01E+13;*;1080;1130;121
23;1,01E+13;100100;1130;1740;1
24;1,01E+13;100100;240;450;1
24;1,01E+13;*;450;470;100
24;1,01E+13;90503;470;990;23
24;1,01E+13;*;990;1010;100
24;1,01E+13;100100;1010;1740;1
25;1,01E+13;100100;240;500;1
25;1,01E+13;*;500;515;100
25;1,01E+13;90506;515;1080;22
25;1,01E+13;*;1080;1100;100
25;1,01E+13;100100;1100;1740;1
26;1,01E+13;100100;240;390;1
26;1,01E+13;*;390;420;121
26;1,01E+13;470400;420;465;11
26;1,01E+13;*;465;500;121
26;1,01E+13;953140;500;630;13
26;1,01E+13;*;630;640;121
26;1,01E+13;953130;640;690;13
26;1,01E+13;*;690;725;121
26;1,01E+13;470400;725;730;11
26;1,01E+13;*;730;735;100
26;1,01E+13;470400;735;795;53
26;1,01E+13;*;795;800;100
26;1,01E+13;470400;800;900;11
26;1,01E+13;*;900;935;121
26;1,01E+13;750400;935;960;13
26;1,01E+13;*;960;1005;121
26;1,01E+13;521600;1005;1065;13
26;1,01E+13;*;1065;1090;121
26;1,01E+13;100100;1090;1740;1
27;1,01E+13;100100;240;450;1
27;1,01E+13;*;450;470;121
27;1,01E+13;230300;470;1010;11
27;1,01E+13;*;1010;1040;121
27;1,01E+13;320100;1040;1050;42
27;1,01E+13;*;1050;1065;121
27;1,01E+13;100100;1065;1110;1
27;1,01E+13;*;1110;1130;121
27;1,01E+13;80900;1130;1140;64
27;1,01E+13;*;1140;1155;121
27;1,01E+13;50800;1155;1215;54
27;1,01E+13;*;1215;1230;121
27;1,01E+13;100100;1230;1740;1
28;1,01E+13;100200;240;465;1
28;1,01E+13;*;465;540;121
28;1,01E+13;810700;540;1230;13
28;1,01E+13;*;1230;1305;121
28;1,01E+13;100200;1305;1740;1
29;1,01E+13;100200;240;465;1
29;1,01E+13;*;465;525;121
29;1,01E+13;30400;525;1050;13
29;1,01E+13;*;1050;1065;121
29;1,01E+13;40608;1065;1140;32
29;1,01E+13;*;1140;1160;121
29;1,01E+13;100200;1160;1740;1
30;1,01E+13;100200;240;450;1
30;1,01E+13;*;450;470;131
30;1,01E+13;20513;470;1020;24
30;1,01E+13;*;1020;1040;131
30;1,01E+13;100200;1040;1740;1
31;1,01E+13;100200;240;450;1
31;1,01E+13;*;450;460;121
31;1,01E+13;110200;460;460;64
31;1,01E+13;*;460;495;121
31;1,01E+13;560905;495;1035;11
31;1,01E+13;*;1035;1065;121
31;1,01E+13;110200;1065;1065;61
31;1,01E+13;*;1065;1075;121
